y	m	d	Mondovi_Simn	Mondovi_arpa
1996	7	18	0.2	0
1996	7	19	0.6	0
1996	7	20	0	0
1996	7	21	0	0
1996	7	22	0	0
1996	7	23	0	0
1996	7	24	0	0
1996	7	25	0	0
1996	7	26	0	0
1996	7	27	0	0.6
1996	7	28	0.2	2
1996	7	29	0	0.6
1996	7	30	NA	12.8
1996	7	31	NA	0
1996	8	1	NA	0
1996	8	2	NA	0
1996	8	3	NA	0
1996	8	4	NA	26.4
1996	8	5	NA	0
1996	8	6	NA	1.8
1996	8	7	NA	0
1996	8	8	NA	2
1996	8	9	NA	0
1996	8	10	NA	0
1996	8	11	NA	0
1996	8	12	NA	0.2
1996	8	13	NA	2
1996	8	14	NA	0
1996	8	15	NA	0
1996	8	16	NA	0
1996	8	17	NA	0
1996	8	18	NA	0
1996	8	19	NA	0
1996	8	20	NA	0
1996	8	21	NA	0
1996	8	22	NA	23.2
1996	8	23	NA	2
1996	8	24	NA	0
1996	8	25	NA	7.2
1996	8	26	NA	0
1996	8	27	NA	0
1996	8	28	NA	3.8
1996	8	29	NA	0
1996	8	30	NA	4.2
1996	8	31	NA	0
1996	9	1	NA	0
1996	9	2	NA	34.4
1996	9	3	NA	5.4
1996	9	4	NA	15
1996	9	5	NA	0
1996	9	6	NA	0
1996	9	7	NA	0
1996	9	8	NA	0
1996	9	9	NA	0
1996	9	10	NA	0.2
1996	9	11	NA	0
1996	9	12	NA	0
1996	9	13	NA	0
1996	9	14	NA	0
1996	9	15	NA	0
1996	9	16	NA	0
1996	9	17	NA	0
1996	9	18	NA	0
1996	9	19	NA	6
1996	9	20	NA	21.8
1996	9	21	NA	7.8
1996	9	22	NA	0
1996	9	23	NA	5
1996	9	24	NA	0
1996	9	25	NA	0
1996	9	26	NA	0
1996	9	27	NA	0
1996	9	28	NA	0
1996	9	29	NA	0
1996	9	30	NA	0
1996	10	1	NA	0
1996	10	2	NA	1.6
1996	10	3	NA	0
1996	10	4	NA	0
1996	10	5	NA	0
1996	10	6	NA	1
1996	10	7	NA	18.8
1996	10	8	NA	63.2
1996	10	9	NA	53.2
1996	10	10	NA	0
1996	10	11	NA	36.2
1996	10	12	NA	0
1996	10	13	NA	0
1996	10	14	NA	27.4
1996	10	15	NA	28.6
1996	10	16	NA	40.2
1996	10	17	NA	6.8
1996	10	18	NA	0
1996	10	19	NA	0
1996	10	20	NA	0
1996	10	21	NA	0
1996	10	22	NA	0
1996	10	23	NA	0
1996	10	24	NA	0
1996	10	25	NA	0
1996	10	26	NA	0
1996	10	27	NA	0
1996	10	28	NA	0
1996	10	29	NA	0
1996	10	30	NA	0
1996	10	31	NA	0
1996	11	1	NA	0
1996	11	2	NA	0
1996	11	3	NA	0
1996	11	4	NA	0
1996	11	5	NA	0
1996	11	6	NA	7.6
1996	11	7	NA	0
1996	11	8	NA	0
1996	11	9	NA	0
1996	11	10	NA	0
1996	11	11	NA	3.2
1996	11	12	0	14.6
1996	11	13	0	0.4
1996	11	14	0	5.6
1996	11	15	0	0.4
1996	11	16	4	13.2
1996	11	17	15.2	19.8
1996	11	18	21.8	29.6
1996	11	19	39.7	0
1996	11	20	65	0
1996	11	21	9	0
1996	11	22	0	0
1996	11	23	0	0
1996	11	24	0	0
1996	11	25	0	0
1996	11	26	NA	0
1996	11	27	NA	0
1996	11	28	NA	0
1996	11	29	NA	0
1996	11	30	NA	0
1996	12	1	NA	0
1996	12	2	NA	0
1996	12	3	0	0
1996	12	4	0	0
1996	12	5	0	0
1996	12	6	0	0
1996	12	7	0.4	0.6
1996	12	8	1.2	1.2
1996	12	9	0	25.8
1996	12	10	0	36
1996	12	11	109	18
1996	12	12	0.4	0.2
1996	12	13	1	0.6
1996	12	14	1.8	1.6
1996	12	15	0	0
1996	12	16	0	0
1996	12	17	0	0
1996	12	18	0	0
1996	12	19	0	0
1996	12	20	8.4	13.6
1996	12	21	1.4	0
1996	12	22	1	0.6
1996	12	23	0.4	1.4
1996	12	24	NA	0
1996	12	25	NA	3
1996	12	26	NA	1
1996	12	27	NA	0
1996	12	28	NA	0
1996	12	29	NA	0
1996	12	30	NA	0
1996	12	31	NA	0
